lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_BreachDays.1,b_BreachDays.2,b_BreachDays.3,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,b_bar_Breach,Rho_Zone.1.1,Rho_Zone.2.1,Rho_Zone.1.2,Rho_Zone.2.2,sigma_Zone.1,sigma_Zone.2,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_BreachDays_sub,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0575441
# Diagonal elements of inverse mass matrix:
# 0.0106548, 0.00477824, 0.00636307, 0.0160509, 0.0174204, 0.0159942, 0.31908, 0.0395019, 0.342795, 0.202929, 0.87871, 0.35435, 0.331193, 0.387228, 0.00319811, 0.00165052, 0.00155416, 0.00105692, 0.00110598, 0.000664454, 0.00298272, 0.00228708, 0.0105768, 0.0106236, 0.000763896, 0.00132292, 0.00358403, 0.00327965, 0.00309819, 0.00640073, 0.00632183, 0.0182041, 0.0313435, 0.0292032, 0.00633, 0.00124723, 0.00219486, 0.0608849, 0.00717077, 0.00232652, 0.00138323, 1.38665, 1.57124, 0.000410116, 0.00754918
-2063,0.998666,0.0575441,6,63,0,2087.26,0.201617,0.352667,0.325542,2.40217,3.02112,2.09614,0.825339,-0.112341,1,0.554393,0.554393,1,1.32756,0.253253,-0.450229,0.27151,0.742502,1,0.134725,0.134725,1,0.979039,0.975236,0.42227,0.712525,-0.594196,-0.213908,0.0786865,0.322406,-0.582434,0.375847,0.579299,0.23591,0.0503274,-0.0707006,0.00401474,-0.0443415,-0.0962563,-0.622792,-0.190534,-0.026956,-0.476227,0.183568,-0.193453,-0.363346,0.0764001,-0.119758,0.102051,0.039954,0.5922,0.450912
-2059.06,0.997791,0.0575441,6,63,0,2090.06,0.275287,0.214671,0.415481,2.39071,2.66269,2.08732,0.563097,0.172293,1,-0.155932,-0.155932,1,1.63543,0.415335,-0.927232,-0.115924,0.264056,1,0.0152792,0.0152792,1,1.0198,1.06736,0.390687,0.716467,-0.643787,-0.238366,0.187074,0.477617,-0.451929,0.303035,0.594031,0.339598,-0.0500103,0.108931,0.0294792,0.0450382,0.0445884,-0.187438,-0.0690878,0.0578813,-0.488461,0.17009,-0.102079,-0.388384,0.0146569,-0.0942042,0.0974304,0.0258507,0.581517,0.64782
-2061.34,0.995468,0.0575441,6,63,0,2080.44,0.0827131,0.252696,0.336475,2.35809,2.89332,2.04404,-0.2588,0.347085,1,-0.110777,-0.110777,1,2.40232,0.118877,-0.169956,-0.650453,-0.013171,1,0.0512188,0.0512188,1,0.988167,1.05885,0.341329,0.633687,-0.626711,-0.187933,0.126787,0.401903,-0.486424,0.370259,0.599093,0.258325,-0.0848084,0.0271062,0.0639437,0.050984,0.0555193,-0.449243,-0.0936341,0.0381396,-0.488424,0.236346,-0.0904658,-0.396151,0.0347555,-0.168549,0.143278,0.0282103,0.598215,0.649821
-2060.48,0.996102,0.0575441,6,63,0,2080.59,0.0414376,0.308817,0.346422,2.44657,2.78672,2.06181,-0.225278,0.180767,1,-0.396471,-0.396471,1,2.02277,0.0888971,-0.41164,-0.813866,0.177665,1,0.0762343,0.0762343,1,0.959277,1.04169,0.32506,0.649496,-0.626229,-0.224348,0.131593,0.437782,-0.485517,0.375514,0.596943,0.307117,-0.058487,0.00226245,-0.00627741,0.0390603,-0.0258436,-0.505948,0.0101576,0.0354873,-0.501875,0.204519,-0.146797,-0.376784,0.0326471,-0.133718,0.0495584,0.103024,0.603887,0.592957
-2061.14,0.975414,0.0575441,6,63,0,2080.32,0.126176,0.250915,0.306428,2.35811,2.75172,2.06568,-0.0538295,0.372099,1,0.0251195,0.0251195,1,1.96561,0.327488,-0.572707,-0.264397,-0.261138,1,0.093498,0.093498,1,0.965987,1.01696,0.32656,0.637989,-0.616848,-0.189431,0.131634,0.354887,-0.47956,0.376561,0.641546,0.270924,-0.014938,-0.00458474,-0.0391508,0.0387856,0.0120611,-0.442585,-0.0771418,0.0385352,-0.509562,0.213328,0.0486179,-0.400042,0.0587995,-0.134412,0.0330777,0.0657892,0.597863,0.569495
-2064.61,0.997057,0.0575441,6,63,0,2084.84,0.315053,0.23662,0.313919,2.38322,2.87962,2.10525,0.946632,0.0806284,1,0.0662187,0.0662187,1,1.85616,0.385262,-0.470191,-0.295074,0.424841,1,0.0620171,0.0620171,1,0.957911,0.989027,0.370412,0.645819,-0.60432,-0.23397,0.160068,0.335096,-0.490909,0.348828,0.661052,0.263288,0.0188891,0.0219784,0.0808156,0.0234235,0.0222757,-0.73245,-0.261017,0.00448828,-0.488319,0.216009,-0.254289,-0.226219,-0.0564045,-0.135549,0.0476073,0.0945299,0.59465,0.539534
-2061.03,0.987891,0.0575441,6,63,0,2088.26,0.218439,0.375383,0.36466,2.3113,2.80196,2.16345,0.0893843,0.33628,1,-0.164896,-0.164896,1,4.79033,0.155881,-0.432734,-0.302258,-0.109869,1,-0.0961172,-0.0961172,1,1.01989,1.01877,0.428076,0.713142,-0.603554,-0.269695,0.0979793,0.505986,-0.410878,0.373327,0.514929,0.350099,-0.0201246,0.00994878,0.0561029,-0.0155102,0.109325,-0.00881506,0.136394,-0.0291871,-0.505774,0.154039,-0.0900315,-0.433209,0.124348,-0.113523,0.755386,0.152457,0.601829,0.545369
-2067.66,0.971824,0.0575441,6,63,0,2087.14,0.254446,0.1867,0.420453,2.40484,3.06099,2.12271,1.18902,0.224774,1,-0.390326,-0.390326,1,1.27544,0.177415,-1.10361,-0.0153927,0.636251,1,0.0936866,0.0936866,1,0.981113,0.968538,0.36449,0.668817,-0.596227,-0.182709,0.146481,0.359622,-0.688862,0.379951,0.605269,0.341932,0.00382928,-0.016538,0.0469652,-0.0233516,0.000804323,-0.689317,-0.247393,-0.0193227,-0.503229,0.144328,-0.0776208,-0.398364,-0.137385,-0.113102,0.0741397,0.000266693,0.589919,0.546962
-2069.27,0.996312,0.0575441,6,63,0,2088.14,0.202779,0.202666,0.411109,2.38158,2.89432,2.33485,0.81744,0.702447,1,-0.683114,-0.683114,1,1.06543,0.465881,-0.412148,0.0434471,0.711235,1,-0.0606957,-0.0606957,1,1.02279,0.987557,0.41949,0.69192,-0.623209,-0.171139,0.0570158,0.360455,-0.59398,0.385103,0.505466,0.35538,-0.00396021,-0.0647874,-0.0178242,-0.0118392,-0.000201009,-0.0329556,-0.0261013,-0.0172089,-0.526434,0.222339,-0.283168,-0.526561,-0.0212304,-0.110338,0.151103,2.33244e-05,0.579838,0.59414
-2064.05,0.996157,0.0575441,6,63,0,2090.6,0.238867,0.284289,0.430429,2.48051,2.88936,2.01175,-0.186932,0.266944,1,0.000902494,0.000902494,1,3.38725,0.228172,-0.664216,-0.182335,0.112903,1,-0.040864,-0.040864,1,1.03252,0.982213,0.393068,0.704903,-0.578102,-0.255475,0.203778,0.414853,-0.527866,0.35581,0.601065,0.416714,0.0942599,0.0300224,0.00283627,0.0299453,-0.00116349,-0.724449,-0.228352,0.0162015,-0.536103,0.092302,0.00492358,-0.370761,0.0281449,-0.0858918,0.183725,0.00312966,0.603183,0.433107
