lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b_BreachDays.1,b_BreachDays.2,b_BreachDays.3,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,b_bar_Breach,Rho_Zone.1.1,Rho_Zone.2.1,Rho_Zone.1.2,Rho_Zone.2.2,sigma_Zone.1,sigma_Zone.2,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_BreachDays_sub,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0583983
# Diagonal elements of inverse mass matrix:
# 0.0103946, 0.00473063, 0.00633397, 0.0160032, 0.0168867, 0.0147183, 0.295669, 0.0399016, 0.337792, 0.188204, 0.83657, 0.392247, 0.346695, 0.392906, 0.0030522, 0.00154442, 0.00154574, 0.00116115, 0.00108417, 0.000676921, 0.00288682, 0.00235218, 0.0107459, 0.0107341, 0.000783789, 0.00133527, 0.00372555, 0.0034233, 0.00314126, 0.00506204, 0.00509779, 0.0140107, 0.028156, 0.0266163, 0.00494132, 0.00132866, 0.00221033, 0.0602154, 0.00728408, 0.00229666, 0.00139273, 1.22195, 1.59186, 0.000406579, 0.00714993
-2073,0.844228,0.0583983,6,63,0,2093.64,0.0637508,0.362639,0.463945,2.44466,2.79216,2.1014,0.873946,-0.0865573,1,-0.529444,-0.529444,1,2.47036,0.319919,-0.433194,-0.343657,-0.185704,1,-0.117312,-0.117312,1,0.93517,0.93355,0.376943,0.738157,-0.5629,-0.202487,0.18864,0.443317,-0.60757,0.358662,0.585489,0.345176,-0.0707647,-0.00111915,0.111999,0.0674928,0.169746,-0.397208,-0.42006,0.0641759,-0.441484,0.15601,-0.257844,-0.336164,0.0040228,-0.101207,0.657005,0.287718,0.595839,0.51969
-2057.6,0.97466,0.0583983,6,63,0,2092.6,-0.0773494,0.22274,0.333055,2.32497,2.76703,2.09109,0.170001,-0.158706,1,0.907733,0.907733,1,2.74691,1.06484,-0.297958,-0.237594,-0.14246,1,-0.0219886,-0.0219886,1,1.00126,1.01523,0.374234,0.670967,-0.596731,-0.197502,0.15648,0.491063,-0.686778,0.392772,0.539871,0.353696,-0.108285,-0.00314956,0.0846566,0.100109,0.00331543,-0.327568,-0.0763698,0.106549,-0.545094,0.172273,-0.300408,-0.384555,0.0401382,-0.118582,0.3008,0.415325,0.588992,0.661414
-2058.64,0.987306,0.0583983,6,63,0,2076.36,-0.0792238,0.328235,0.359493,2.42436,2.83024,2.11258,0.703036,-0.197654,1,0.485694,0.485694,1,3.20219,0.31102,-0.23832,-0.180888,-0.128813,1,-0.0117498,-0.0117498,1,0.985843,1.00224,0.453063,0.685721,-0.595255,-0.251097,0.172311,0.329641,-0.496222,0.375656,0.492447,0.394412,0.0427305,0.0309026,0.0993094,0.083095,0.00137696,-0.283923,0.0787525,0.0790719,-0.506599,0.189644,-0.023078,-0.519151,-0.034919,-0.0192627,0.265509,0.525091,0.59537,0.672355
-2061.8,0.819329,0.0583983,6,63,0,2085.38,0.177564,0.287743,0.311513,2.22569,2.71218,2.09294,-0.342203,-0.54309,1,0.233148,0.233148,1,1.73116,1.81675,-0.74177,-0.626183,-0.580113,1,0.0287737,0.0287737,1,1.0155,1.05142,0.381553,0.701159,-0.579982,-0.144751,0.0670545,0.416292,-0.549669,0.408378,0.525927,0.405697,0.0480711,0.0324681,0.0398987,0.0327678,0.324811,-0.258935,0.0261443,0.017895,-0.563648,0.201882,-0.126223,-0.346029,0.0174379,-0.0798803,0.510924,0.0270465,0.604694,0.338934
-2055.62,0.959378,0.0583983,6,63,0,2085.02,0.0985762,0.168291,0.444137,2.40897,2.68138,2.04601,1.04383,0.23391,1,0.739948,0.739948,1,2.2476,0.919216,-0.495923,-0.39875,-0.304446,1,-0.00491736,-0.00491736,1,0.983114,0.977629,0.416042,0.693064,-0.62707,-0.197652,0.195061,0.328227,-0.564401,0.338863,0.570932,0.351698,-0.0449281,-0.0368958,0.0655973,0.0583904,0.217726,-0.424752,0.0423962,0.0403269,-0.422654,0.142806,-0.0794849,-0.397893,0.0110468,-0.0779323,0.480822,0.158357,0.587574,0.72888
-2059.1,0.961238,0.0583983,6,63,0,2077.18,0.375396,0.330975,0.228063,2.28031,2.81726,2.06373,-0.0354875,0.523045,1,-0.798776,-0.798776,1,1.91306,0.18363,-0.473249,-0.373854,-0.320692,1,0.00823247,0.00823247,1,1.00835,1.03913,0.382482,0.692466,-0.590164,-0.141743,0.0924311,0.489121,-0.624875,0.427777,0.531178,0.406556,0.0322867,0.0369674,0.17075,0.167763,0.317816,0.0518703,-0.0140624,0.158448,-0.58074,0.190507,-0.141768,-0.328118,-0.0210322,-0.0970254,0.724457,0.377228,0.609229,0.376014
-2059.74,0.926968,0.0583983,6,63,0,2089.66,0.0513606,0.239391,0.417287,2.2631,2.54081,2.0325,1.20854,0.431735,1,0.587008,0.587008,1,1.04904,0.559105,-1.0477,-0.819949,-0.810765,1,-0.011542,-0.011542,1,1.01456,0.974019,0.405262,0.70677,-0.606659,-0.197327,0.158222,0.329544,-0.475066,0.349514,0.532996,0.359055,-0.0450726,-0.0157538,0.298492,0.290402,0.239658,-0.444551,0.270221,0.308885,-0.399841,0.129672,-0.0305562,-0.381383,-0.00556256,-0.0686247,0.249232,0.337574,0.583773,0.701208
-2061.93,0.980366,0.0583983,6,127,0,2080.39,0.0497129,0.238309,0.415773,2.30488,2.52417,2.03138,1.12155,0.354471,1,0.62017,0.62017,1,1.08742,0.623274,-1.22118,-0.91679,-0.789351,1,-0.0120349,-0.0120349,1,1.02332,0.976607,0.411389,0.70966,-0.602347,-0.196326,0.149229,0.329986,-0.462448,0.346643,0.529179,0.368438,-0.0484539,-0.0128037,0.317484,0.316061,0.243706,-0.44973,0.277657,0.332245,-0.397342,0.142805,0.00368272,-0.38813,-0.0037539,-0.0762159,0.233618,0.329751,0.5858,0.702764
-2058.79,0.983529,0.0583983,6,63,0,2085.5,-0.0712084,0.287388,0.378973,2.24145,2.77548,1.97858,1.04167,0.350006,1,-0.400556,-0.400556,1,1.40814,0.53254,-0.547242,-0.581699,-0.5047,1,-0.0570431,-0.0570431,1,1.03712,1.00177,0.362721,0.733086,-0.575771,-0.224979,0.218984,0.397635,-0.605229,0.371297,0.581842,0.329598,-0.0136825,0.0671088,0.341216,0.348785,0.229354,-0.389233,0.158921,0.353764,-0.446468,0.169442,-0.265436,-0.378717,0.0172682,-0.0242645,0.518594,0.647153,0.600369,0.592823
-2055.13,0.291217,0.0583983,6,63,0,2077.64,-0.0301452,0.294416,0.373268,2.25747,2.73171,1.98997,1.19949,0.353525,1,-0.0904882,-0.0904882,1,1.44646,0.565671,-0.299313,-0.302606,-0.295795,1,0.0041042,0.0041042,1,1.02343,1.0076,0.37418,0.71671,-0.573249,-0.170163,0.223692,0.400176,-0.594897,0.360051,0.565891,0.335162,-0.0518128,0.0338421,0.332527,0.327418,0.20245,-0.356696,0.241163,0.361705,-0.458911,0.187784,-0.299291,-0.405451,0.0217947,-0.020946,0.596245,1.10579,0.60009,0.614986
